time,lat,lon,GHI,model_index
2018-07-01 08:00:00,62.0,9.0,616.2103,6.0
2018-07-01 09:00:00,62.0,9.0,722.0835,6.0
2018-07-01 10:00:00,62.0,9.0,802.8864,6.0
2018-07-01 11:00:00,62.0,9.0,842.5558,6.0
2018-07-01 12:00:00,62.0,9.0,847.50366,6.0
2018-07-01 13:00:00,62.0,9.0,804.92944,6.0
2018-07-01 14:00:00,62.0,9.0,735.9172,6.0
2018-07-01 15:00:00,62.0,9.0,610.37823,6.0
2018-07-01 16:00:00,62.0,9.0,473.87482,6.0
2018-07-01 17:00:00,62.0,9.0,309.83218,6.0
2018-07-01 18:00:00,62.0,9.0,162.2685,6.0
2018-07-01 19:00:00,62.0,9.0,92.61894,6.0
2018-07-01 20:00:00,62.0,9.0,56.54358,6.0
2018-07-01 21:00:00,62.0,9.0,11.337698,5.0
2018-07-01 22:00:00,62.0,9.0,0.0,4.0
2018-07-01 23:00:00,62.0,9.0,0.0,4.0
2018-07-02 00:00:00,62.0,9.0,0.0,4.0
2018-07-02 01:00:00,62.0,9.0,0.0,4.0
2018-07-02 02:00:00,62.0,9.0,0.0,4.0
2018-07-02 03:00:00,62.0,9.0,54.032173,5.0
2018-07-02 04:00:00,62.0,9.0,125.94211,6.0
2018-07-02 05:00:00,62.0,9.0,208.56445,6.0
2018-07-02 06:00:00,62.0,9.0,340.78058,6.0
2018-07-02 07:00:00,62.0,9.0,489.95056,6.0
2018-07-02 08:00:00,62.0,9.0,617.4138,6.0
2018-07-02 09:00:00,62.0,9.0,721.60046,6.0
2018-07-02 10:00:00,62.0,9.0,792.5916,6.0
2018-07-02 11:00:00,62.0,9.0,798.06146,6.0
2018-07-02 12:00:00,62.0,9.0,783.95264,6.0
2018-07-02 13:00:00,62.0,9.0,756.2432,6.0
2018-07-02 14:00:00,62.0,9.0,654.5198,6.0
2018-07-02 15:00:00,62.0,9.0,562.96814,6.0
2018-07-02 16:00:00,62.0,9.0,446.36874,6.0
2018-07-02 17:00:00,62.0,9.0,337.16312,6.0
2018-07-02 18:00:00,62.0,9.0,226.13263,6.0
2018-07-02 19:00:00,62.0,9.0,119.99896,6.0
2018-07-02 20:00:00,62.0,9.0,62.086685,6.0
2018-07-02 21:00:00,62.0,9.0,0.0,4.0
2018-07-02 22:00:00,62.0,9.0,0.0,4.0
2018-07-02 23:00:00,62.0,9.0,0.0,4.0
2018-07-03 00:00:00,62.0,9.0,0.0,4.0
2018-07-03 01:00:00,62.0,9.0,0.0,4.0
2018-07-03 02:00:00,62.0,9.0,0.0,4.0
2018-07-03 03:00:00,62.0,9.0,6.922653,5.0
2018-07-03 04:00:00,62.0,9.0,29.567799,5.0
2018-07-03 05:00:00,62.0,9.0,97.16789,6.0
2018-07-03 06:00:00,62.0,9.0,248.43765,6.0
2018-07-03 07:00:00,62.0,9.0,398.73764,6.0
2018-07-03 08:00:00,62.0,9.0,588.1281,6.0
2018-07-03 09:00:00,62.0,9.0,713.4309,6.0
2018-07-03 10:00:00,62.0,9.0,798.6715,6.0
2018-07-03 11:00:00,62.0,9.0,844.69244,6.0
2018-07-03 12:00:00,62.0,9.0,850.42163,6.0
2018-07-03 13:00:00,62.0,9.0,755.0,4.0
2018-07-03 14:00:00,62.0,9.0,682.0,4.0
2018-07-03 15:00:00,62.0,9.0,642.3827,6.0
2018-07-03 16:00:00,62.0,9.0,533.0153,6.0
2018-07-03 17:00:00,62.0,9.0,396.74597,6.0
2018-07-03 18:00:00,62.0,9.0,275.43375,6.0
2018-07-03 19:00:00,62.0,9.0,164.03163,6.0
2018-07-03 20:00:00,62.0,9.0,71.84749,6.0
2018-07-03 21:00:00,62.0,9.0,8.081837,5.0
2018-07-03 22:00:00,62.0,9.0,0.0,4.0
2018-07-03 23:00:00,62.0,9.0,0.0,4.0
2018-07-04 00:00:00,62.0,9.0,0.0,4.0
2018-07-04 01:00:00,62.0,9.0,0.0,4.0
2018-07-04 02:00:00,62.0,9.0,0.0,4.0
2018-07-04 03:00:00,62.0,9.0,40.929913,5.0
2018-07-04 04:00:00,62.0,9.0,120.88011,6.0
2018-07-04 05:00:00,62.0,9.0,213.11801,6.0
2018-07-04 06:00:00,62.0,9.0,329.9521,6.0
2018-07-04 07:00:00,62.0,9.0,476.96753,6.0
2018-07-04 08:00:00,62.0,9.0,607.10815,6.0
2018-07-04 09:00:00,62.0,9.0,712.5488,6.0
2018-07-04 10:00:00,62.0,9.0,793.32153,6.0
2018-07-04 11:00:00,62.0,9.0,831.16705,6.0
2018-07-04 12:00:00,62.0,9.0,836.5048,6.0
2018-07-04 13:00:00,62.0,9.0,803.9798,6.0
2018-07-04 14:00:00,62.0,9.0,738.4673,6.0
2018-07-04 15:00:00,62.0,9.0,640.2117,6.0
2018-07-04 16:00:00,62.0,9.0,526.55664,6.0
2018-07-04 17:00:00,62.0,9.0,388.6076,6.0
2018-07-04 18:00:00,62.0,9.0,270.3962,6.0
2018-07-04 19:00:00,62.0,9.0,153.44586,6.0
2018-07-04 20:00:00,62.0,9.0,70.57573,6.0
2018-07-04 21:00:00,62.0,9.0,5.667449,5.0
2018-07-04 22:00:00,62.0,9.0,0.0,4.0
2018-07-04 23:00:00,62.0,9.0,0.0,4.0
2018-07-05 00:00:00,62.0,9.0,0.0,4.0
2018-07-05 01:00:00,62.0,9.0,0.0,4.0
2018-07-05 02:00:00,62.0,9.0,0.0,4.0
2018-07-05 03:00:00,62.0,9.0,39.695564,5.0
2018-07-05 04:00:00,62.0,9.0,118.2702,6.0
2018-07-05 05:00:00,62.0,9.0,217.72923,6.0
2018-07-05 06:00:00,62.0,9.0,333.52426,6.0
2018-07-05 07:00:00,62.0,9.0,472.51984,6.0
2018-07-05 08:00:00,62.0,9.0,600.37177,6.0
2018-07-05 09:00:00,62.0,9.0,702.4776,6.0
2018-07-05 10:00:00,62.0,9.0,778.87225,6.0
2018-07-05 11:00:00,62.0,9.0,750.4153,6.0
2018-07-05 12:00:00,62.0,9.0,611.9363,6.0
2018-07-05 13:00:00,62.0,9.0,467.53345,6.0
2018-07-05 14:00:00,62.0,9.0,316.6059,6.0
2018-07-05 15:00:00,62.0,9.0,343.12482,6.0
2018-07-05 16:00:00,62.0,9.0,378.50995,6.0
2018-07-05 17:00:00,62.0,9.0,325.4013,6.0
2018-07-05 18:00:00,62.0,9.0,139.4211,6.0
2018-07-05 19:00:00,62.0,9.0,94.652695,6.0
2018-07-05 20:00:00,62.0,9.0,52.72995,6.0
2018-07-05 21:00:00,62.0,9.0,0.0,4.0
2018-07-05 22:00:00,62.0,9.0,0.0,4.0
2018-07-05 23:00:00,62.0,9.0,0.0,4.0
2018-07-06 00:00:00,62.0,9.0,0.0,4.0
2018-07-06 01:00:00,62.0,9.0,0.0,4.0
2018-07-06 02:00:00,62.0,9.0,0.0,4.0
2018-07-06 03:00:00,62.0,9.0,0.27836323,5.0
2018-07-06 04:00:00,62.0,9.0,46.43112,6.0
2018-07-06 05:00:00,62.0,9.0,85.48358,6.0
2018-07-06 06:00:00,62.0,9.0,156.81125,6.0
2018-07-06 07:00:00,62.0,9.0,187.24411,6.0
2018-07-06 08:00:00,62.0,9.0,313.9859,6.0
2018-07-06 09:00:00,62.0,9.0,437.4129,6.0
2018-07-06 10:00:00,62.0,9.0,461.7196,6.0
2018-07-06 11:00:00,62.0,9.0,282.71027,6.0
2018-07-06 12:00:00,62.0,9.0,289.76218,6.0
2018-07-06 13:00:00,62.0,9.0,309.5348,6.0
2018-07-06 14:00:00,62.0,9.0,423.85577,6.0
2018-07-06 15:00:00,62.0,9.0,436.56763,6.0
2018-07-06 16:00:00,62.0,9.0,329.95352,6.0
2018-07-06 17:00:00,62.0,9.0,200.65056,6.0
2018-07-06 18:00:00,62.0,9.0,121.804214,6.0
2018-07-06 19:00:00,62.0,9.0,81.830734,6.0
2018-07-06 20:00:00,62.0,9.0,8.429626,5.0
2018-07-06 21:00:00,62.0,9.0,0.0,4.0
2018-07-06 22:00:00,62.0,9.0,0.0,4.0
2018-07-06 23:00:00,62.0,9.0,0.0,4.0
2018-07-07 00:00:00,62.0,9.0,0.0,4.0
2018-07-07 01:00:00,62.0,9.0,0.0,4.0
2018-07-07 02:00:00,62.0,9.0,0.0,4.0
2018-07-07 03:00:00,62.0,9.0,4.594365,5.0
2018-07-07 04:00:00,62.0,9.0,22.612755,5.0
2018-07-07 05:00:00,62.0,9.0,76.54831,6.0
2018-07-07 06:00:00,62.0,9.0,144.71948,6.0
2018-07-07 07:00:00,62.0,9.0,242.99391,6.0
2018-07-07 08:00:00,62.0,9.0,412.01807,6.0
2018-07-07 09:00:00,62.0,9.0,635.87463,6.0
2018-07-07 10:00:00,62.0,9.0,788.0745,6.0
2018-07-07 11:00:00,62.0,9.0,846.2987,6.0
2018-07-07 12:00:00,62.0,9.0,857.8254,6.0
2018-07-07 13:00:00,62.0,9.0,816.329,6.0
2018-07-07 14:00:00,62.0,9.0,713.67303,6.0
2018-07-07 15:00:00,62.0,9.0,600.7324,6.0
2018-07-07 16:00:00,62.0,9.0,516.194,6.0
2018-07-07 17:00:00,62.0,9.0,391.0841,6.0
2018-07-07 18:00:00,62.0,9.0,272.66168,6.0
2018-07-07 19:00:00,62.0,9.0,148.94547,6.0
2018-07-07 20:00:00,62.0,9.0,65.65521,6.0
2018-07-07 21:00:00,62.0,9.0,8.808891,5.0
2018-07-07 22:00:00,62.0,9.0,0.0,4.0
2018-07-07 23:00:00,62.0,9.0,0.0,4.0
2018-07-08 00:00:00,62.0,9.0,0.0,4.0
2018-07-08 01:00:00,62.0,9.0,0.0,4.0
2018-07-08 02:00:00,62.0,9.0,0.0,4.0
2018-07-08 03:00:00,62.0,9.0,27.875153,5.0
2018-07-08 04:00:00,62.0,9.0,96.84552,6.0
2018-07-08 05:00:00,62.0,9.0,218.0162,6.0
2018-07-08 06:00:00,62.0,9.0,324.40045,6.0
2018-07-08 07:00:00,62.0,9.0,458.72018,6.0
2018-07-08 08:00:00,62.0,9.0,576.65393,6.0
2018-07-08 09:00:00,62.0,9.0,697.5287,6.0
2018-07-08 10:00:00,62.0,9.0,748.4501,6.0
2018-07-08 11:00:00,62.0,9.0,752.70795,6.0
2018-07-08 12:00:00,62.0,9.0,595.1321,6.0
2018-07-08 13:00:00,62.0,9.0,496.1645,6.0
2018-07-08 14:00:00,62.0,9.0,370.115,6.0
2018-07-08 15:00:00,62.0,9.0,223.6806,6.0
2018-07-08 16:00:00,62.0,9.0,285.9194,6.0
2018-07-08 17:00:00,62.0,9.0,234.4206,6.0
2018-07-08 18:00:00,62.0,9.0,156.98611,6.0
2018-07-08 19:00:00,62.0,9.0,81.02321,6.0
2018-07-08 20:00:00,62.0,9.0,8.227959,5.0
2018-07-08 21:00:00,62.0,9.0,0.0,4.0
2018-07-08 22:00:00,62.0,9.0,0.0,4.0
2018-07-08 23:00:00,62.0,9.0,0.0,4.0
2018-07-09 00:00:00,62.0,9.0,0.0,4.0
2018-07-09 01:00:00,62.0,9.0,0.0,4.0
2018-07-09 02:00:00,62.0,9.0,0.0,4.0
2018-07-09 03:00:00,62.0,9.0,5.0,4.0
2018-07-09 04:00:00,62.0,9.0,12.693752,5.0
2018-07-09 05:00:00,62.0,9.0,72.65404,6.0
2018-07-09 06:00:00,62.0,9.0,106.8822,6.0
2018-07-09 07:00:00,62.0,9.0,155.24908,6.0
2018-07-09 08:00:00,62.0,9.0,208.22816,6.0
2018-07-09 09:00:00,62.0,9.0,264.01743,6.0
2018-07-09 10:00:00,62.0,9.0,297.96198,6.0
2018-07-09 11:00:00,62.0,9.0,256.29382,6.0
2018-07-09 12:00:00,62.0,9.0,265.48264,6.0
2018-07-09 13:00:00,62.0,9.0,250.96465,6.0
2018-07-09 14:00:00,62.0,9.0,225.41495,6.0
2018-07-09 15:00:00,62.0,9.0,222.13553,6.0
2018-07-09 16:00:00,62.0,9.0,184.8648,6.0
2018-07-09 17:00:00,62.0,9.0,134.41373,6.0
2018-07-09 18:00:00,62.0,9.0,135.49231,6.0
2018-07-09 19:00:00,62.0,9.0,102.10016,6.0
2018-07-09 20:00:00,62.0,9.0,54.16951,6.0
2018-07-09 21:00:00,62.0,9.0,0.0,4.0
2018-07-09 22:00:00,62.0,9.0,0.0,4.0
2018-07-09 23:00:00,62.0,9.0,0.0,4.0
2018-07-10 00:00:00,62.0,9.0,0.0,4.0
2018-07-10 01:00:00,62.0,9.0,0.0,4.0
2018-07-10 02:00:00,62.0,9.0,0.0,4.0
2018-07-10 03:00:00,62.0,9.0,31.95132,5.0
2018-07-10 04:00:00,62.0,9.0,112.889786,6.0
2018-07-10 05:00:00,62.0,9.0,212.50006,6.0
2018-07-10 06:00:00,62.0,9.0,315.04965,6.0
2018-07-10 07:00:00,62.0,9.0,466.16284,6.0
2018-07-10 08:00:00,62.0,9.0,598.5705,6.0
2018-07-10 09:00:00,62.0,9.0,704.745,6.0
2018-07-10 10:00:00,62.0,9.0,778.4824,6.0
2018-07-10 11:00:00,62.0,9.0,802.4838,6.0
2018-07-10 12:00:00,62.0,9.0,761.8085,6.0
2018-07-10 13:00:00,62.0,9.0,699.98047,6.0
2018-07-10 14:00:00,62.0,9.0,565.60004,6.0
2018-07-10 15:00:00,62.0,9.0,343.41614,6.0
2018-07-10 16:00:00,62.0,9.0,235.17923,6.0
2018-07-10 17:00:00,62.0,9.0,152.35988,6.0
2018-07-10 18:00:00,62.0,9.0,100.64679,6.0
2018-07-10 19:00:00,62.0,9.0,82.03302,6.0
2018-07-10 20:00:00,62.0,9.0,51.084564,6.0
2018-07-10 21:00:00,62.0,9.0,0.0,4.0
2018-07-10 22:00:00,62.0,9.0,0.0,4.0
2018-07-10 23:00:00,62.0,9.0,0.0,4.0
2018-07-11 00:00:00,62.0,9.0,0.0,0.0
2018-07-11 01:00:00,62.0,9.0,0.0,0.0
2018-07-11 02:00:00,62.0,9.0,0.0,0.0
2018-07-11 03:00:00,62.0,9.0,11.240104,1.0
2018-07-11 04:00:00,62.0,9.0,63.29518,3.0
2018-07-11 05:00:00,62.0,9.0,119.339066,3.0
2018-07-11 06:00:00,62.0,9.0,162.5475,3.0
2018-07-11 07:00:00,62.0,9.0,243.89871,3.0
2018-07-11 08:00:00,62.0,9.0,406.0,4.0
2018-07-11 09:00:00,62.0,9.0,456.4234,6.0
2018-07-11 10:00:00,62.0,9.0,587.6924,6.0
2018-07-11 11:00:00,62.0,9.0,539.9468,6.0
2018-07-11 12:00:00,62.0,9.0,489.54913,6.0
2018-07-11 13:00:00,62.0,9.0,259.8665,6.0
2018-07-11 14:00:00,62.0,9.0,140.08675,6.0
2018-07-11 15:00:00,62.0,9.0,272.90472,6.0
2018-07-11 16:00:00,62.0,9.0,357.6108,6.0
2018-07-11 17:00:00,62.0,9.0,238.69315,6.0
2018-07-11 18:00:00,62.0,9.0,175.02194,6.0
2018-07-11 19:00:00,62.0,9.0,108.89723,6.0
2018-07-11 20:00:00,62.0,9.0,58.48198,6.0
2018-07-11 21:00:00,62.0,9.0,0.45586967,5.0
2018-07-11 22:00:00,62.0,9.0,0.0,4.0
2018-07-11 23:00:00,62.0,9.0,0.0,4.0
2018-07-12 00:00:00,62.0,9.0,0.0,4.0
2018-07-12 01:00:00,62.0,9.0,0.0,4.0
2018-07-12 02:00:00,62.0,9.0,0.0,4.0
2018-07-12 03:00:00,62.0,9.0,3.801591,5.0
2018-07-12 04:00:00,62.0,9.0,73.18698,6.0
2018-07-12 05:00:00,62.0,9.0,102.0695,6.0
2018-07-12 06:00:00,62.0,9.0,165.93918,6.0
2018-07-12 07:00:00,62.0,9.0,335.25186,6.0
2018-07-12 08:00:00,62.0,9.0,493.04663,6.0
2018-07-12 09:00:00,62.0,9.0,499.30014,6.0
2018-07-12 10:00:00,62.0,9.0,594.1072,5.0
2018-07-12 11:00:00,62.0,9.0,557.7353,6.0
2018-07-12 12:00:00,62.0,9.0,281.67953,6.0
2018-07-12 13:00:00,62.0,9.0,178.47977,6.0
2018-07-12 14:00:00,62.0,9.0,306.34897,6.0
2018-07-12 15:00:00,62.0,9.0,246.24327,6.0
2018-07-12 16:00:00,62.0,9.0,276.39325,5.0
2018-07-12 17:00:00,62.0,9.0,210.20941,6.0
2018-07-12 18:00:00,62.0,9.0,116.55403,6.0
2018-07-12 19:00:00,62.0,9.0,94.45761,6.0
2018-07-12 20:00:00,62.0,9.0,61.09288,6.0
2018-07-12 21:00:00,62.0,9.0,0.0,4.0
2018-07-12 22:00:00,62.0,9.0,0.0,4.0
2018-07-12 23:00:00,62.0,9.0,0.0,4.0
2018-07-13 00:00:00,62.0,9.0,0.0,4.0
2018-07-13 01:00:00,62.0,9.0,0.0,4.0
2018-07-13 02:00:00,62.0,9.0,0.0,4.0
2018-07-13 03:00:00,62.0,9.0,14.47484,5.0
2018-07-13 04:00:00,62.0,9.0,89.8743,6.0
2018-07-13 05:00:00,62.0,9.0,162.49068,6.0
2018-07-13 06:00:00,62.0,9.0,233.52736,6.0
2018-07-13 07:00:00,62.0,9.0,414.62952,6.0
2018-07-13 08:00:00,62.0,9.0,544.309,6.0
2018-07-13 09:00:00,62.0,9.0,648.98126,6.0
2018-07-13 10:00:00,62.0,9.0,717.52527,6.0
2018-07-13 11:00:00,62.0,9.0,745.308,6.0
2018-07-13 12:00:00,62.0,9.0,591.08777,6.0
2018-07-13 13:00:00,62.0,9.0,344.63803,6.0
2018-07-13 14:00:00,62.0,9.0,517.0926,6.0
2018-07-13 15:00:00,62.0,9.0,324.58838,6.0
2018-07-13 16:00:00,62.0,9.0,178.90546,6.0
2018-07-13 17:00:00,62.0,9.0,179.33658,6.0
2018-07-13 18:00:00,62.0,9.0,129.41277,6.0
2018-07-13 19:00:00,62.0,9.0,86.1982,6.0
2018-07-13 20:00:00,62.0,9.0,37.253963,5.0
2018-07-13 21:00:00,62.0,9.0,0.19731903,5.0
2018-07-13 22:00:00,62.0,9.0,0.0,4.0
2018-07-13 23:00:00,62.0,9.0,0.0,4.0
2018-07-14 00:00:00,62.0,9.0,0.0,4.0
2018-07-14 01:00:00,62.0,9.0,0.0,4.0
2018-07-14 02:00:00,62.0,9.0,0.0,4.0
2018-07-14 03:00:00,62.0,9.0,4.0,4.0
2018-07-14 04:00:00,62.0,9.0,47.277557,6.0
2018-07-14 05:00:00,62.0,9.0,132.62016,6.0
2018-07-14 06:00:00,62.0,9.0,256.9753,6.0
2018-07-14 07:00:00,62.0,9.0,386.71844,6.0
2018-07-14 08:00:00,62.0,9.0,516.7894,6.0
2018-07-14 09:00:00,62.0,9.0,653.2068,6.0
2018-07-14 10:00:00,62.0,9.0,745.669,6.0
2018-07-14 11:00:00,62.0,9.0,693.0868,6.0
2018-07-14 12:00:00,62.0,9.0,586.89636,6.0
2018-07-14 13:00:00,62.0,9.0,600.8441,6.0
2018-07-14 14:00:00,62.0,9.0,688.74255,6.0
2018-07-14 15:00:00,62.0,9.0,593.9557,6.0
2018-07-14 16:00:00,62.0,9.0,453.6328,6.0
2018-07-14 17:00:00,62.0,9.0,280.79547,6.0
2018-07-14 18:00:00,62.0,9.0,130.20584,6.0
2018-07-14 19:00:00,62.0,9.0,79.21951,6.0
2018-07-14 20:00:00,62.0,9.0,10.090965,5.0
2018-07-14 21:00:00,62.0,9.0,0.0,4.0
2018-07-14 22:00:00,62.0,9.0,0.0,4.0
2018-07-14 23:00:00,62.0,9.0,0.0,4.0
2018-07-15 00:00:00,62.0,9.0,0.0,4.0
2018-07-15 01:00:00,62.0,9.0,0.0,4.0
2018-07-15 02:00:00,62.0,9.0,0.0,4.0
2018-07-15 03:00:00,62.0,9.0,4.2299232,5.0
2018-07-15 04:00:00,62.0,9.0,54.916183,6.0
2018-07-15 05:00:00,62.0,9.0,105.38988,6.0
